CustomerID,Recommendations
C0001,"C0085: 1.00, C0042: 1.00, C0089: 1.00"
C0002,"C0157: 1.00, C0166: 1.00, C0029: 1.00"
C0003,"C0111: 0.99, C0160: 0.99, C0147: 0.99"
C0004,"C0162: 1.00, C0165: 1.00, C0090: 1.00"
C0005,"C0080: 1.00, C0167: 1.00, C0177: 1.00"
C0006,"C0079: 1.00, C0117: 1.00, C0196: 0.99"
C0007,"C0146: 1.00, C0125: 1.00, C0061: 1.00"
C0008,"C0109: 1.00, C0136: 1.00, C0124: 1.00"
C0009,"C0015: 1.00, C0131: 1.00, C0193: 1.00"
C0010,"C0176: 1.00, C0027: 0.99, C0030: 0.98"
C0011,"C0139: 1.00, C0100: 1.00, C0023: 1.00"
C0012,"C0101: 1.00, C0156: 1.00, C0093: 1.00"
C0013,"C0067: 1.00, C0138: 1.00, C0141: 1.00"
C0014,"C0192: 1.00, C0159: 1.00, C0186: 1.00"
C0015,"C0009: 1.00, C0131: 1.00, C0120: 1.00"
C0016,"C0154: 1.00, C0040: 1.00, C0026: 0.99"
C0017,"C0075: 1.00, C0179: 1.00, C0039: 1.00"
C0018,"C0045: 1.00, C0041: 1.00, C0068: 1.00"
C0019,"C0142: 1.00, C0174: 1.00, C0055: 1.00"
C0020,"C0058: 1.00, C0193: 1.00, C0198: 1.00"
